Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,CLTV,Churn Value
0,0,1,1,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4,1047,5719,1
0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,2373,4287,1
1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3,2300,5444,1
0,0,1,1,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4,2066,4690,1
0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85,4239,4328,1
0,1,0,1,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,277,5717,1
0,1,0,1,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,4260,4419,1
0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,2507,4534,1
1,0,0,1,8,1,2,1,0,0,0,0,0,2,0,0,0,84.5,5278,2152,1
0,0,0,1,13,1,0,1,0,2,2,0,0,0,0,1,2,79.25,216,5142,1
0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,2044,4851,1
1,0,1,1,6,1,0,1,0,2,2,0,0,2,0,1,2,91.0,4440,2283,1
1,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,2,79.9,5974,3394,1
0,0,0,1,19,1,0,1,2,0,2,2,2,2,0,1,2,106.6,1536,3764,1
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,46.0,6174,2667,1
0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,1,2,70.15,2329,2227,1
1,0,1,0,4,1,0,0,0,0,0,2,0,0,0,0,3,50.05,1326,3394,1
0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,55.2,4560,3638,1
1,0,0,1,1,1,0,1,2,0,0,0,0,2,0,1,3,84.6,6175,2484,1
1,0,0,0,2,1,2,0,0,2,0,0,0,0,0,1,3,54.4,269,2556,1
0,1,0,1,11,1,0,1,0,2,0,0,2,2,0,1,2,95.0,231,5980,1
1,1,0,0,15,1,0,1,0,2,0,0,0,0,0,1,2,74.4,146,4616,1
1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,48.55,4051,5687,1
0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,2,70.4,864,5687,1
1,1,1,0,1,0,1,0,0,2,0,0,2,0,0,0,2,40.2,3414,5828,1
0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,44.6,6021,4884,1
1,1,0,0,3,0,1,0,0,0,2,0,0,2,0,1,2,41.15,583,2314,1
1,1,0,0,13,1,2,1,0,2,2,0,2,2,0,1,2,106.9,660,2494,1
1,0,0,0,59,1,0,2,1,1,1,1,1,1,2,0,3,19.35,196,5084,1
0,1,0,0,16,1,0,1,0,0,0,2,2,2,0,1,2,94.45,930,3810,1
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,24.8,2044,5087,1
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,70.6,5513,3338,1
1,0,1,0,5,1,2,1,0,2,0,2,0,0,0,1,2,85.4,3422,3676,1
0,0,1,0,52,1,2,1,0,2,2,0,2,2,0,1,2,105.05,4658,4839,1
1,0,1,0,18,1,0,1,0,0,2,0,2,2,0,0,3,95.15,1306,4643,1
1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,70.0,5501,4094,1
1,1,0,0,8,1,0,1,0,2,0,0,0,0,0,1,2,74.5,4955,4345,1
1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,1,44.85,3698,4061,1
1,1,0,0,24,1,2,1,0,0,0,0,0,0,0,1,2,76.1,1213,2018,1
0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,3,73.6,5668,2565,1
0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,95.45,3387,3677,1
1,1,1,0,32,1,2,1,0,0,0,0,0,0,0,1,2,74.9,1943,4105,1
1,0,0,0,5,1,0,1,0,0,0,0,2,0,0,1,2,80.6,3547,5715,1
0,0,1,0,38,1,0,0,2,2,0,2,2,2,1,0,1,80.3,2658,2071,1
1,1,1,0,24,1,0,1,0,0,2,0,2,2,0,1,2,93.15,1867,2212,1
0,1,0,0,54,1,2,0,2,2,0,2,2,2,1,0,0,82.45,3700,4149,1
0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.35,708,2671,1
0,0,0,0,7,1,2,1,0,0,0,0,0,0,0,1,2,73.85,4306,2473,1
0,0,0,0,2,1,2,1,0,0,2,0,0,0,0,0,3,80.6,988,2683,1
1,0,1,0,68,1,2,0,0,2,2,2,0,2,1,1,0,75.8,4426,4903,1
0,0,0,0,43,1,2,1,0,2,2,0,2,2,2,1,2,104.6,4031,5250,1
1,0,1,0,63,1,2,1,0,2,2,0,2,2,0,1,2,103.4,5270,4352,1
0,0,0,0,2,1,0,1,0,0,0,0,2,2,0,1,2,90.4,1169,4157,1
1,0,1,0,4,1,2,1,0,2,2,0,0,0,0,1,0,84.8,3201,4939,1
0,1,0,0,21,0,1,0,2,0,0,0,2,0,0,1,2,41.9,6180,4778,1
0,0,0,0,10,1,0,1,0,0,0,0,0,2,0,1,0,80.25,6194,3598,1
1,1,1,0,27,0,1,0,2,0,0,0,0,0,0,0,1,30.75,6040,2927,1
1,0,0,0,5,1,0,1,0,0,2,0,2,2,0,0,0,96.5,4173,5383,1
1,0,0,0,2,1,2,1,0,0,0,0,2,0,0,1,2,85.65,1358,3878,1
0,0,1,0,25,1,2,1,0,0,2,2,2,2,0,1,0,104.95,2222,3642,1
1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,3,50.65,4232,2431,1
1,0,0,0,1,1,2,1,0,2,0,0,0,2,0,1,1,90.85,6327,3424,1
1,1,1,0,11,1,0,2,1,1,1,1,1,1,0,0,3,19.95,1761,5888,1
0,1,1,0,55,1,2,1,0,2,2,0,0,0,0,1,2,85.45,4120,5502,1
0,0,0,0,34,1,0,1,0,2,0,0,0,0,0,1,1,73.95,2181,5795,1
1,0,1,0,69,1,2,1,0,0,2,0,2,2,0,1,1,99.45,5523,4020,1
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.9,1492,3351,1
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.6,1486,3448,1
1,1,0,0,3,1,2,1,0,2,0,0,0,0,0,1,2,81.35,1965,2818,1
0,0,1,0,22,1,0,1,0,2,0,0,0,2,0,0,2,83.3,1406,3804,1
0,1,0,0,1,1,0,1,0,0,2,0,0,0,0,1,0,75.3,5769,4902,1
0,0,1,0,61,1,0,2,1,1,1,1,1,1,0,1,3,19.4,340,4221,1
1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,1,0,45.4,4345,2887,1
0,0,0,0,60,1,2,1,0,2,2,0,2,2,0,1,2,105.9,5156,4105,1
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,69.55,5447,2792,1
0,0,1,0,28,1,0,1,0,0,0,0,0,2,0,1,2,81.05,1859,5201,1
1,0,1,0,4,1,2,1,0,0,2,0,2,2,0,0,2,101.15,3297,4417,1
1,0,0,0,7,1,2,1,0,2,0,0,2,2,0,1,2,99.8,5337,2031,1
0,0,1,0,13,1,0,0,0,0,0,0,0,2,0,0,2,55.95,5689,4498,1
1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,2,55.0,4558,4877,1
0,0,1,0,1,1,0,1,0,2,0,0,0,0,0,1,2,74.7,5723,5980,1
1,0,0,0,24,1,2,1,0,2,0,0,0,0,0,1,2,80.25,1432,4418,1
1,0,0,0,5,1,0,1,0,0,0,2,2,2,0,1,2,96.1,3856,4192,1
0,0,0,0,15,1,0,1,0,0,0,0,0,0,0,0,0,69.0,6520,5671,1
0,0,1,0,48,0,1,0,2,0,2,0,0,2,0,1,0,45.3,1763,4926,1
0,0,1,0,8,1,0,1,0,2,0,0,2,0,0,1,2,83.55,5384,2879,1
1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,74.35,5718,2814,1
0,0,1,0,2,1,0,1,2,0,0,0,0,0,0,1,2,74.4,711,4263,1
1,0,0,0,22,0,1,0,0,2,2,0,0,2,1,1,0,43.75,6333,3099,1
0,1,0,0,5,0,1,0,0,2,0,0,0,0,0,0,2,28.45,568,4099,1
0,0,0,0,12,1,2,1,2,2,2,0,0,2,0,1,0,99.7,436,2538,1
0,1,0,0,20,1,2,1,0,2,2,0,0,2,0,1,2,94.1,1315,2666,1
1,0,1,0,2,1,0,1,0,0,0,2,2,2,0,1,2,94.2,1155,3715,1
0,0,1,0,6,1,2,1,0,0,0,2,0,0,0,1,2,80.5,4252,5032,1
0,1,1,0,5,1,2,1,0,0,0,0,0,0,0,1,2,74.35,2897,5273,1
1,0,0,0,40,1,2,1,0,0,2,2,2,2,0,0,0,104.8,3525,3492,1
0,1,1,0,27,1,0,1,2,0,0,0,0,0,0,1,0,75.2,1527,4517,1
0,0,0,0,23,1,2,1,0,0,0,0,0,0,0,0,0,75.6,1280,2115,1
1,0,1,0,34,1,2,1,0,0,2,0,2,2,0,1,2,100.05,3017,2568,1
0,0,0,0,1,1,2,1,0,0,0,0,0,2,0,1,2,85.0,6206,5679,1
1,0,0,0,10,1,2,1,0,0,0,0,2,0,0,1,0,86.05,6154,2966,1
1,0,0,0,13,0,1,0,2,0,0,2,2,0,0,1,1,45.55,4892,4856,1
1,0,1,0,39,1,0,1,0,2,0,0,2,0,0,1,3,86.3,2843,3364,1
1,0,0,0,32,1,2,1,0,2,0,0,0,0,0,1,0,80.35,2245,5974,1
0,0,0,0,35,1,2,1,0,0,2,0,2,2,0,1,2,100.25,3057,2744,1
1,0,1,0,56,1,2,1,0,2,0,0,2,2,1,0,1,100.3,4650,5170,1
0,0,1,0,12,1,0,2,1,1,1,1,1,1,0,0,3,19.0,1963,3535,1
0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,3,75.3,5769,3244,1
0,1,0,0,4,1,2,1,0,0,2,0,2,0,0,1,2,89.2,2992,5808,1
0,1,0,0,1,1,2,1,0,0,0,0,2,0,0,1,2,85.7,6213,4880,1
0,0,0,0,12,1,2,0,2,0,2,2,0,0,0,1,3,61.65,5593,5670,1
0,1,1,0,65,1,2,1,2,0,2,0,2,2,0,0,0,105.25,5368,4196,1
1,0,1,0,9,0,1,0,0,2,0,0,0,0,0,1,2,29.95,2129,2573,1
0,0,1,0,9,1,0,0,2,2,2,2,0,0,0,0,3,65.0,5280,3983,1
0,0,0,0,7,1,0,2,1,1,1,1,1,1,0,0,0,20.0,666,4479,1
1,1,1,0,49,1,2,1,0,2,0,0,0,2,0,0,1,90.05,3876,5059,1
1,1,1,0,43,1,2,1,0,2,2,2,2,2,0,1,0,110.75,3965,2728,1
0,0,1,0,65,1,2,1,0,2,2,0,2,2,0,1,2,105.5,5491,5720,1
1,1,1,0,56,1,2,1,2,0,2,0,2,2,1,1,0,104.55,4778,6268,1
1,0,1,0,10,1,2,1,0,0,0,0,0,2,0,1,2,85.25,6228,3573,1
0,0,1,0,43,1,0,0,0,0,0,0,2,0,0,0,2,56.15,2146,2152,1
1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,89.55,6302,4996,1
1,1,1,0,20,1,2,1,0,0,0,0,2,2,0,1,2,94.55,1474,5604,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,45.7,3822,2295,1
0,1,0,0,2,1,2,1,0,2,0,0,0,2,0,0,2,89.5,1068,2065,1
0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,69.55,1854,2876,1
0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,1,3,74.6,5722,3860,1
0,1,0,0,8,1,0,2,1,1,1,1,1,1,0,0,2,19.65,1112,5432,1
1,0,1,0,2,1,0,2,1,1,1,1,1,1,1,0,3,19.85,3036,2362,1
0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,3,24.25,6465,2038,1
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,69.65,834,2323,1
0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,3,45.65,1508,2864,1
0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,3,75.05,5767,4838,1
1,1,0,0,52,0,1,0,0,2,0,0,2,2,0,1,2,49.15,2208,5597,1
0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,2,34.7,5041,3146,1
1,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,2,80.0,6013,2046,1
1,1,0,0,2,1,0,0,2,0,0,0,0,0,0,1,2,49.25,6343,3475,1
0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,1,75.1,2350,4965,1
1,0,1,0,3,1,0,0,0,0,2,0,0,0,0,1,2,50.15,1168,3273,1
0,0,0,0,25,1,0,1,2,2,0,0,0,0,0,1,0,79.85,1643,4535,1
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.55,1485,3556,1
0,0,1,0,4,1,2,1,0,0,0,0,0,2,0,1,2,85.95,3267,5640,1
1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,2,45.35,747,2450,1
1,1,1,0,33,1,2,1,0,0,0,0,2,2,0,1,2,94.5,2702,4333,1
0,1,0,0,30,1,2,1,2,2,2,0,0,0,0,0,1,91.7,2397,2482,1
0,0,0,0,45,1,2,1,0,0,2,2,0,0,0,1,2,87.25,3368,5269,1
1,0,0,0,10,1,2,1,2,0,0,0,2,2,0,0,2,98.55,17,3658,1
1,1,0,0,20,1,2,1,0,0,2,0,2,2,0,1,2,98.55,1404,5444,1
0,0,0,0,15,1,0,1,0,2,0,0,0,2,0,1,0,85.9,494,3579,1
0,0,0,0,22,1,0,1,0,0,0,0,2,2,0,0,2,89.25,1506,3161,1
1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,2,70.3,1709,3038,1
1,0,0,0,15,1,2,1,0,0,0,0,2,2,0,1,2,93.35,825,5264,1
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.9,1492,4248,1
0,0,1,0,5,1,0,1,2,0,2,0,0,2,0,1,3,88.9,3868,4356,1
1,0,1,0,33,1,0,1,0,0,2,0,2,2,1,1,2,95.8,2639,4161,1
1,0,0,0,2,1,2,1,0,2,0,0,0,0,0,1,2,82.0,1398,3051,1
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,45.35,6301,3478,1
0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,2,52.2,4355,4138,1
0,1,0,0,46,1,2,1,2,2,2,0,2,2,1,1,2,110.0,4121,2403,1
1,0,0,0,62,1,2,1,0,0,2,0,2,2,1,1,2,96.75,4997,5016,1
0,0,0,0,10,1,2,1,0,0,0,2,2,2,0,1,2,98.5,112,5184,1
1,0,0,0,6,1,0,1,0,2,0,0,2,0,0,1,2,85.35,4131,4694,1
1,0,1,0,40,1,2,1,0,2,0,0,2,2,0,1,2,101.3,3505,2576,1
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.55,5447,3042,1
1,0,0,0,58,1,2,1,0,2,2,0,2,2,1,1,0,103.25,4925,6105,1
1,0,0,0,70,1,2,1,2,0,0,2,2,2,2,1,1,104.0,5643,4544,1
0,0,0,0,2,1,0,1,0,0,2,0,0,2,0,1,3,86.2,1309,2969,1
1,0,1,0,21,1,2,1,0,2,2,2,2,2,0,1,2,111.2,1952,4123,1
0,0,1,0,16,1,0,1,0,2,2,0,2,0,0,1,1,89.45,798,3696,1
1,1,1,0,7,1,2,1,0,0,0,0,2,2,0,1,0,95.6,5178,3265,1
1,0,1,0,60,1,0,1,0,2,2,0,2,0,1,0,2,90.95,4531,4111,1
0,0,1,0,50,1,2,1,2,2,0,2,2,2,1,0,2,108.55,4647,4274,1
0,1,0,0,4,1,0,1,0,0,0,0,2,0,0,1,2,78.85,2524,5301,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,44.4,3741,3522,1
0,1,0,0,55,1,2,1,0,0,2,0,2,2,1,1,2,100.0,4574,5679,1
0,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,1932,2653,1
1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,89.9,6304,5951,1
0,0,0,0,62,1,2,1,0,0,2,0,2,2,1,1,2,100.15,5167,5600,1
1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,50.8,4235,3718,1
1,1,1,0,20,1,0,1,0,2,0,0,0,0,0,1,2,73.65,858,5849,1
0,0,0,0,3,1,0,1,0,2,0,0,2,2,0,1,2,95.1,2667,5861,1
1,0,0,0,22,1,2,1,0,0,0,0,2,2,0,1,1,94.65,1734,3665,1
1,0,1,0,4,1,0,1,0,0,2,2,0,0,0,1,3,80.6,2772,3080,1
1,0,1,0,59,1,2,1,0,0,0,0,0,2,1,0,2,85.55,4296,6304,1
0,0,0,0,60,0,1,0,0,2,0,0,2,2,0,1,2,50.8,2631,4941,1
0,0,0,0,15,1,0,1,2,0,2,2,2,2,0,0,2,105.1,1035,2122,1
1,0,0,0,10,1,0,1,2,2,2,2,2,2,0,1,2,110.1,83,5803,1
0,0,0,0,6,1,0,1,0,0,2,0,0,2,0,0,2,83.9,4205,3962,1
0,0,1,0,63,1,2,1,2,2,2,0,2,0,0,1,2,100.55,5049,5413,1
1,0,1,0,50,1,2,1,0,2,2,0,2,2,0,1,0,103.85,4250,5812,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,24.6,2041,5768,1
0,0,0,0,12,1,0,1,2,0,0,2,2,2,0,1,0,98.9,232,5559,1
0,0,0,0,9,1,2,1,0,0,2,0,2,2,0,0,1,98.3,6377,2954,1
1,0,0,0,17,1,0,1,2,0,0,0,2,2,0,0,2,93.85,1097,4940,1
1,1,0,0,9,1,2,1,0,0,2,0,2,2,0,1,2,100.5,6362,4038,1
1,1,0,0,10,1,0,1,0,2,0,0,0,0,0,1,2,72.85,5428,3189,1
1,1,1,0,1,1,2,1,0,0,0,0,0,0,0,1,2,73.55,5667,4369,1
0,1,0,0,3,1,2,1,0,2,0,0,0,0,0,1,2,79.4,1681,3501,1
0,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,81.15,6451,4806,1
0,1,0,0,4,1,2,1,0,0,0,0,0,2,0,1,2,84.6,3116,2467,1
0,0,0,0,6,1,2,1,2,0,0,0,0,0,0,1,2,79.05,3690,3263,1
0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,74.4,1768,2054,1
1,1,0,0,35,1,2,1,0,0,2,0,2,2,0,1,2,99.05,2939,2074,1
1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,44.95,6209,5900,1
1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,44.7,3746,3700,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,45.7,3822,3571,1
1,1,0,0,8,1,0,1,2,0,0,2,2,2,0,0,1,100.3,6148,5084,1
1,0,0,0,7,1,0,2,1,1,1,1,1,1,0,0,2,19.25,229,4489,1
0,0,0,0,2,1,2,1,0,0,0,0,2,2,0,1,2,96.0,1255,3391,1
0,0,0,0,1,1,0,1,0,0,0,0,2,2,0,0,2,90.55,6324,2627,1
1,1,1,0,44,0,1,0,0,2,0,0,0,0,0,1,2,30.35,653,4829,1
1,0,0,0,71,1,2,1,2,0,2,2,2,2,2,1,2,108.05,5788,5200,1
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.9,5454,5367,1
1,1,1,0,62,1,2,1,0,2,2,0,2,2,1,1,2,103.75,5147,5052,1
1,0,0,0,1,1,2,1,0,0,0,0,0,2,0,1,2,86.6,6242,5228,1
0,1,1,0,33,1,2,1,0,2,0,0,0,0,0,1,0,80.6,2305,3601,1
0,0,0,0,35,1,2,1,0,2,0,2,0,0,0,0,1,85.3,2520,2455,1
0,0,0,0,34,1,0,1,0,0,0,0,0,0,0,1,1,70.0,2059,2318,1
0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,94.3,3617,5419,1
0,0,0,0,7,1,0,1,0,0,2,0,2,2,0,1,2,95.35,5268,3077,1
1,1,1,0,27,1,2,1,0,0,0,0,0,0,0,1,2,75.5,1472,2377,1
0,0,0,0,18,1,2,1,0,0,0,2,0,2,0,1,2,90.1,1075,4260,1
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,68.95,354,5225,1
1,0,1,0,32,1,2,1,2,0,0,0,2,2,0,1,1,99.55,2785,5026,1
1,0,1,0,18,1,0,0,0,0,2,0,0,2,0,0,2,57.45,6515,2989,1
1,0,1,0,12,1,0,0,0,0,0,0,0,2,1,0,1,53.65,5480,2595,1
1,1,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,100.6,6094,5906,1
1,0,1,0,26,1,2,1,0,0,0,0,2,0,0,1,2,83.75,1696,2404,1
0,1,1,0,3,1,0,1,2,0,0,2,2,0,0,1,3,88.3,2377,4486,1
0,1,0,0,8,1,0,1,0,0,2,0,2,2,0,1,2,92.1,5658,5662,1
1,0,1,0,38,1,0,1,2,2,0,0,0,0,0,1,2,79.45,2611,2405,1
1,1,0,0,14,1,0,1,0,0,0,0,2,2,0,0,1,90.45,485,4777,1
1,0,1,0,32,1,0,1,0,0,0,0,0,0,0,1,0,69.75,1983,2356,1
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.65,1487,5881,1
1,1,0,0,12,0,1,0,0,0,2,2,0,2,0,1,2,43.65,4401,2437,1
0,0,0,0,5,0,1,0,0,0,2,0,0,2,0,0,2,39.5,1733,2863,1
1,0,1,0,40,1,2,1,0,0,0,0,2,2,0,1,0,97.1,3195,3099,1
0,0,0,0,5,1,0,1,0,0,0,0,0,2,0,1,2,80.0,3513,3937,1
0,0,0,0,10,1,0,1,2,0,0,0,2,0,0,1,3,84.7,6146,5686,1
1,0,1,0,2,1,0,1,0,0,0,0,2,2,0,1,0,89.55,1414,3851,1
1,0,0,0,23,1,2,1,0,0,0,2,2,0,0,1,2,90.6,1547,4359,1
0,0,0,0,23,1,2,1,2,0,0,0,2,0,0,1,0,90.05,1784,4650,1
1,0,1,0,49,1,2,1,0,2,0,0,2,2,0,1,0,99.05,4093,5157,1
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,69.75,811,5667,1
0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,1,49.05,6343,2960,1
1,0,0,0,7,1,2,1,0,0,2,0,2,2,0,1,0,98.05,5590,2561,1
0,0,0,0,41,1,2,1,2,2,2,2,2,2,0,1,0,114.5,3854,3038,1
1,0,0,0,2,1,0,1,0,0,0,0,0,2,0,1,2,80.95,1208,3533,1
0,1,0,0,13,1,0,1,0,0,2,0,0,0,0,1,2,74.3,6425,2995,1
0,1,0,0,11,1,0,1,0,0,0,0,2,2,0,0,0,89.7,91,2202,1
1,1,1,0,17,1,2,1,0,0,2,0,2,2,0,1,1,100.45,1093,5508,1
1,0,1,0,25,1,0,1,0,0,0,0,2,2,1,1,2,90.4,1792,5801,1
1,0,1,0,3,1,0,0,0,2,2,0,0,0,0,1,3,56.15,1168,2539,1
0,0,0,0,4,1,0,1,2,0,2,2,0,2,0,1,0,94.4,3307,4249,1
0,0,1,0,37,1,2,1,0,0,2,0,0,0,0,1,1,78.95,2453,3982,1
0,0,0,0,19,0,1,0,0,0,0,0,2,2,1,1,1,44.85,6313,5182,1
1,1,1,0,39,1,2,1,0,2,2,0,2,2,0,1,2,105.65,3646,4687,1
1,0,0,0,7,1,0,1,0,0,2,0,0,0,0,0,3,74.65,4522,3331,1
0,0,1,0,14,1,2,0,2,0,0,0,2,0,0,1,0,64.7,6426,4049,1
0,1,1,0,11,1,2,1,0,0,2,2,2,2,0,1,0,104.05,261,4553,1
1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.55,3033,3958,1
0,0,0,0,2,1,2,1,0,0,0,0,2,2,0,1,2,95.15,1567,2414,1
